fecha,hora,temperatura,humedad,presion,lluvia,fuente
2025-10-25,17:38:34,14.1,74,1009.8,0.0,Open-Meteo
2025-10-25,17:42:08,14.1,74,1009.8,0.0,Open-Meteo
2025-10-25,17:44:45,14.1,74,1009.8,0.0,Open-Meteo
2025-10-25,17:47:21,14.0,74,1010.2,0.0,Open-Meteo
2025-10-25,17:49:06,14.0,74,1010.2,0.0,Open-Meteo
2025-10-25,17:49:57,14.0,74,1010.2,0.0,Open-Meteo
2025-10-25,17:52:23,14.0,74,1010.2,0.0,Open-Meteo
2025-10-25,17:57:28,14.0,74,1010.2,0.0,Open-Meteo
2025-10-25,18:27:31,13.9,75,1010.6,0.0,Open-Meteo
2025-10-25,18:50:31,13.6,77,1011.0,0.0,Open-Meteo
2025-10-25,18:56:14,13.6,77,1011.0,0.0,Open-Meteo
2025-10-25,18:59:02,13.6,77,1011.0,0.0,Open-Meteo
2025-10-25,19:29:04,14.4,77,1011.6,0.0,Open-Meteo
2025-10-25,19:53:15,13.9,81,1012.2,0.0,Open-Meteo
2025-10-25,20:29:20,13.6,84,1012.6,0.0,Open-Meteo
2025-10-25,20:59:23,13.2,86,1013.0,0.0,Open-Meteo
2025-10-25,21:29:25,13.0,87,1013.2,0.0,Open-Meteo
2025-10-25,21:59:28,12.8,87,1013.2,0.0,Open-Meteo
2025-10-25,22:29:30,12.5,87,1013.1,0.0,Open-Meteo
2025-10-25,22:59:33,12.1,89,1012.9,0.0,Open-Meteo
2025-10-25,23:29:35,11.9,89,1012.8,0.0,Open-Meteo
2025-10-25,23:59:38,11.6,88,1013.0,0.0,Open-Meteo
2025-10-26,00:29:40,11.4,89,1013.1,0.0,Open-Meteo
2025-10-26,00:59:43,10.8,92,1013.1,0.0,Open-Meteo
2025-10-26,01:29:46,11.3,85,1013.2,0.0,Open-Meteo
2025-10-26,01:59:49,11.1,86,1012.8,0.0,Open-Meteo
2025-10-26,02:29:51,10.9,86,1012.6,0.0,Open-Meteo
2025-10-26,02:59:54,10.4,87,1012.5,0.0,Open-Meteo
2025-10-26,03:29:56,10.2,87,1012.5,0.0,Open-Meteo
2025-10-26,03:59:59,9.9,89,1012.5,0.0,Open-Meteo
2025-10-26,04:30:02,9.8,89,1012.6,0.0,Open-Meteo
2025-10-26,05:00:05,9.8,88,1012.7,0.0,Open-Meteo
2025-10-26,05:30:07,9.8,87,1012.8,0.0,Open-Meteo
2025-10-26,06:00:10,9.8,86,1012.8,0.0,Open-Meteo
2025-10-26,06:30:13,10.1,85,1013.0,0.0,Open-Meteo
2025-10-26,07:00:15,10.5,85,1013.2,0.0,Open-Meteo
2025-10-26,07:30:18,10.6,86,1013.2,0.0,Open-Meteo
2025-10-26,08:00:20,11.8,84,1013.5,0.0,Open-Meteo
2025-10-26,08:30:23,13.2,81,1013.8,0.0,Open-Meteo
2025-10-26,09:00:25,14.4,79,1014.0,0.0,Open-Meteo
2025-10-26,09:30:28,15.6,74,1014.1,0.0,Open-Meteo
2025-10-26,10:00:30,16.5,70,1014.1,0.0,Open-Meteo
2025-10-26,10:30:33,17.5,65,1013.9,0.0,Open-Meteo
2025-10-26,11:00:35,18.2,62,1013.7,0.0,Open-Meteo
2025-10-26,11:30:37,19.0,59,1013.2,0.0,Open-Meteo
2025-10-26,12:00:40,19.6,56,1012.8,0.0,Open-Meteo
2025-10-26,12:30:42,20.3,54,1012.2,0.0,Open-Meteo
2025-10-26,13:00:45,20.8,52,1011.7,0.0,Open-Meteo
